;accessionNumber;filingDate;reportDate;acceptanceDateTime;act;form;fileNumber;filmNumber;items;size;isXBRL;isInlineXBRL;primaryDocument;primaryDocDescription
315;0001564590-20-030017;2020-06-22;;2020-06-22T06:11:48.000Z;34;DEFA14A;001-34756;20977103;;143242;0;0;tsla-defa14a_20200707.htm;DEFA14A
316;0001214659-20-005791;2020-06-19;;2020-06-19T14:59:09.000Z;34;PX14A6G;001-34756;20975405;;75047;0;0;r619200px14a6g.htm;
317;0001214659-20-005699;2020-06-17;;2020-06-17T15:06:41.000Z;34;PX14A6G;001-34756;20969520;;66898;0;0;p612202px14a6g.htm;
318;0001564590-20-029536;2020-06-16;2020-06-10;2020-06-16T16:24:51.000Z;34;8-K;001-34756;20966748;1.01;162073;1;1;tsla-8k_20200610.htm;8-K
319;0001790565-20-000007;2020-06-12;2020-06-10;2020-06-12T21:15:15.000Z;;4;;;;8499;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
320;0001771364-20-000011;2020-06-09;2020-06-05;2020-06-09T21:29:22.000Z;;4;;;;13744;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
321;0001771364-20-000010;2020-06-09;2020-06-05;2020-06-09T21:05:38.000Z;;4;;;;34921;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
322;0001771364-20-000009;2020-06-09;2020-06-05;2020-06-09T20:42:46.000Z;;4;;;;13749;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
323;0001771364-20-000008;2020-06-09;2020-06-05;2020-06-09T19:49:04.000Z;;4;;;;38994;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
324;0001584518-20-000007;2020-06-03;2020-06-01;2020-06-03T21:53:16.000Z;;4;;;;8434;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
325;0001584518-20-000006;2020-06-03;2020-06-01;2020-06-03T21:22:09.000Z;;4;;;;8410;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
326;0001564590-20-027335;2020-05-28;;2020-05-28T16:28:17.000Z;34;SD;001-34756;20921444;;371946;0;0;tsla-sd.htm;SD
327;0001564590-20-027325;2020-05-28;;2020-05-28T16:15:45.000Z;34;DEFA14A;001-34756;20921242;;278424;0;0;tsla-defa14a_20200707.htm;DEFA14A
328;0001564590-20-027321;2020-05-28;2020-07-07;2020-05-28T16:12:41.000Z;34;DEF 14A;001-34756;20921203;;1654563;0;0;tsla-def14a_20200707.htm;DEF 14A
